Abattoir Name,RC Nr,Province,Status,ZA Nr,Expiry Date of ZA,Transformation/ Government,Price Information,SETA,Tel. 1,Tel. 2,FAX,VAT Number,Distance from Headoffice,Postal Address,City,Postal Code,Municipality,Physical Address, GPS Coordinates (DMS), GPS Coordinates (DMS) 2,Owner,Owner email,Owner Cell,Manager,Manager email,Manager Cell,Training,Training email,Training Cell,Accounts,Account email,Accounts Cell,Emails,Meat Inspection Services (Assignee Name),Assignee Contact Name,Assignee Contact Number,Meat Inspectors,Meat Examiner,QA Manager/s or HMS Contact,Floor Supervisor,Technical Manager,Contact Number,Email,Quality Control & Hygiene Manager,Cell Number,Email Control & Hygiene Manager,L/H,G,Units,Amount Slaughtered,CATTLE,CALVES,SHEEP,PIG,GOAT,GAME,CROCODILES,HORSES,Kosher,Halaal,Classification (C/NC),Grader,Deboning Plant,Processing Plant,Rendering Plant,Residue,2018 Member,2019 Member,2020 Members,2021 Members,2022 Members,2023 Members,2024 Members,2025 Members,2026 Members,Other Comments,Modified By,Modified,Modified Fields,Old Values,New Values,Can Mail Be sent to Client?,Date Mail Sent,Verification,DB UPDATED,Latest Update Received,Data Base Comment 
Maningi Abattoir,04/089,Free State,Closed,,,,,,056 213 1403,,,,246.2,P O Box 1086,,,,,,,Christo  Barnard,,082 577 9121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Maphitha Abattoir (Free M),05/061,KZN,Active,,,Transformation,,,035 004 0151,,,4780299816,570.3,P O Box 110,Ulundi,"3,838",,"BA 469 Umxhapho street Ulundi, Ulundi Industrial Area. ",,,Ntandoyenkosi Sithole,executivel@maphitha.com,078 047 1027,Mluleki Zulu,hr.admin@maphitha.com,083 986 2420,,,,,,,ulunditotal@yahoo.com; noku.sithole@yahoo.com,Yes,Dr. C. C Meintjes,083 273 5797,,,,,,,,,,,LT,E,6,,x,x,x,,,,,,No,No,,,,,,,No,,,,,,,Members,,"Telephone number, vat number and species sheeps added",,,,,,No,,Pending Review,,2025.05.07,New manager's details updated
Maree Abattoir,04/057,Free State,Closed,,,,,,051 381 1026,,,,367.9,P O Box 7733,,,,,,,L Maree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Marken Abattoir,02/036,Limpopo,Closed,,,,,,014 765 0054,,,,287.4,P O Box 38,,,,,,,HP Oosthuizen,,082 784 1685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Marquard Abattoir,04/024,Free State,Active,,,?,,,051 991 0086,,051 991 0086,,380,P O Box 6,Marquard,"9,610",,Froneman Street Marquard 9610,,,Evert Philip & Pieter Strydom,skeba@telkomsa.net,083 274 1876,Fenischa Haarhoff,haarhoffenischa@gmail.com,073 821 3074,Evert Phillip Strydom,,083 274 1876,Estelle Marnitz / Lioia van Heerden,,073 968 4434,,,,,,,,,,,,,,,LT,D,20,,x,x,x,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Maszi Abattoir,new,Gauteng,Active,,,,,,010 007 4740,011 974 0309,"119,740,464",4620278384,49.5,Postnet Suit 327 P O Box 202,Isando,"1,600",Tshwane,184 JR Leeuwkraal Rust de Winter,2509095 284115E,,Lucas M Msiza,mlekimsiza@gmail.com,083 375 2596,Dumisani Nduli,mnxedisi.dumisani@gmail.com,084 340 0740,,,,,,,,,,,,,,,,,,,,,LT,D,36,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,New abattoir updated,,,,,,No,,Pending Review,2025.01.27,2025.02.03,Manager's details and units updated
Matador Abattoir (Middelburg),08/032,Mpumalanga,Closed,,,,,,013 245 9711,,,,147.4,P O Box 2240,,,,,,,Flip PJC Cronje,,082 785 3119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Matome Maponya Abattoir,02/035,Limpopo,Active,,,Yes,,,015 291 5107,,015 291 4258,,327.8,P O Box 255,Sovenga,727,,,,,Matome M Maponya,sekepe@sekepe.com,082 446 7048,,,,,,,,,,,,,,,,,,,,,,,,LT,D,20,,x,,x,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Mauricedale (Zaytoon),08/050,Mpumalanga,Inactive,,,?,,,012 427 9700,,013 792 4328,,388.9,P O Box 368,Malelane,"1,320",,"Farm Mauricedale, Malelane","31°37'07""E ","25°32'43""S",Mr. R R Hume,mauricedale@mweb.co.za,084 524 4308,,,,,,,,,,,,,,,,,,,,,,,,LT,E,8,,,,,,,x,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,2018.03.15 Received from Dirk
Mbumba Rural Red Meat,08/062,Mpumalanga,Inactive,,,Yes ,,,082 513 5648,,,,431,P O Box 222,Thulamahashe,"1,365",Bushbuckridge,513A Post Office Street Thulamashe 1365,,,Mrs FN Matyeka,info@matyekainc.com,,Sandile Matjeka,sandile@matyekainc.com,082 513 5648,Jabu Chauke,jabujchauke@gmail.com,079 230 4097,Jabu Chauke,jabujchauke@gmail.com,079 230 4097,,,,,,,,,,,,,,,RT,,,,x,,,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,2018.03.15 Received from Dirk
Meadow Meats Kokstad Abattoir / EG Abattoir,05/007,KZN,Active,,,?,,,039 727 3340,,039 727 3643,,742.4,P O Box 454,Kokstad,"4,700",,,,,Willem Maartens,willem@meadowmeats.co.za,082 450 1775,,,,Kennett Sinclair,kennett@meadowmeats.co.za,,Francois Marais,francois@meadowmeats.co.za; meadowadmi@sadomain.net,,,,,,,,,,,,,,,,HT,B,95,,x,x,x,,,,,,No ,No ,,,,,,x,No ,,,,,,,,,,,,,,,No,,Pending Review,2025.01.23,,All the contacts are not working Shirley-Ann please send the dataform
Meadow Meats Vryheid Abattoir,05/014,KZN,Active,,,Transformation,,,,,034 980 9773,,452.2,P O Box 1289,Vryheid,"3,100",,38 Bloekom Street Vryheid ,,,Mr A Chen,joseph501mosia@gmail.com,062 515 5097,Joseph Mosia,joseph501mosia@gmail.com,062 515 5097,Joseph Mosia,joseph501mosia@gmail.com,062 515 5097,,elroy@meatmaster.co.za; vab@kznatal.co.za,,hennie@meadowmeats.co.za; dicks@kznatal.co.za,,,,,,,,,,,,,,HT,E,50,,x,,,x,,,,,No ,Yes,,,,,,,No ,,,,,,,awaiting payment,,,,,,,,No,,Pending Review,,2025.03.14,Owner's details halaal as well as the phyisical address updated
Meat Traders (Pty) Ltd Queenstown ,06/051,Eastern Cape,Active,,,?,,Foodbev,045 838 3012,045 838 3013/4,045 839 6585,4240206294,827,P O Box 899,Queenstown,"5,320",Enoch Mgijima,1 Green Street Westbourne Queenstown 5320,,,Jack Miles,jack@mtqtn.co.za,082 922 7077,Andre Storm,abattoir@mtqtn.co.za,078 170 7241,Progress Mandaza,fs@mtqtn.co.za,079 760 8743,Yolande Wittstock,yolande@mtqtn.co.za,074 893 0994,,,,,,,,,,,,,,,HT,A,300,,x,x,x,x,,,,,No ,No ,,,,,,x,Members,Members,Members,Members,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,2025.03.07,"Units, municipality, manager's details, and training details updated"
Meatlands Abattoir Ltd (Colesberg),09/039,Northern Cape,Active,ZA 46,4/7/2019,?,,AgriSETA,051 753 0791,,051 753 0700 ,4850114770,732.9,P O Box 239,Colesberg,"9,795",,4-6 H’S van der Walt Street; Colesberg,,,G Ferreira,meatlands2@gmail.com,082 944 6099,Mr C Ferreira,meatmanager@gmail.com,082 944 6099,Jorésa,meat00@telkomsa.net,051 753 0791,R Reeders,,074 183 1766,,,,,,,,,,,,,,,HT,A,125,,x,,x,,,,,,No ,Yes,,,,,,x,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Meatmaster Group,05/054,KZN,Active,,,?,Yes,,083 419 0002,034 981 4222 Ext 130,034 980 9424,4290153347,450,P O Box 925,Vryheid,"3,100",Abaqulusi,"Dagbreek Farm Plot 19 (106 East Street, Vryheid 3100)",,,Mr Patrick Friend ,patrick@meatmaster.co.za,082 893 2609,Morne Vermaak,mornevermaak2@gmail.com,072 142 6642,Patrick D'abbadie,vhdmeatmasterabattoir@gmail.co.za,071 163 5705,Charmaine Boucher,charmaine@meatmaster.co.za,034 981 4222 x 103,,,,,,,,,,,,,,,HT,A,220,,x,,x,x,,,,,No,No ,,,,,,x,Members,Members,Members,Members,Members,Members,Members,Members,,Units updated,,,,,,No,,Pending Review,2025.10.31,2023.11.22,Elize said the name of the abattoir has changed from Three F Meats to the updated one
Medina Meats,08/049,Mpumalanga,Active,ZA 478,,Transformation,,Foodbev,082 563 7659,013 282 5262,,4460105291,140,P O Box 1480,Middelburg,"1,050",Steve Tshwete,Plot 33 Rondebosch Middelburg,,,Bital Suliman,medinaabattoir@gmail.com,082 563 7659,Mr M Suliman,,082 963 7659,Mcauley,,063 036 3014,,,,,,,,,,,,,,,,,,HT,A,400,,x,,x,,,,,,No ,Yes,,,,,,,No ,Members,Members,Members,Members,Members,Members,Members,,Throughputs and species updated,,,,,,No,,Pending Review,2020.02.10,,"New owner, manager and vat updated"
Melkboskraal Abattoir,02/022,Limpopo,Closed,,,,,,014 763 3061,,,,327.8,P O Box 131,,,,,,,JP van Staden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Meltonwold Abattoir,09/041,Northern Cape,Active,,,?,,,053 621 1912,,053 621 0906,,904.7,P O Box 1,Meltonwold,"7,071",,Victoria Wes (Melton Wold),,,JG Vorster,meltonwold@lantic.net,082 442 9950,,,,,,,,,,,,,,,,,,,,,,,,LT,R,2,,x,,x,,x,,,,No ,No ,,,,,,,Members,Members,Members,Members,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,,
Memel Abattoir,04/018,Free State,Closed,,,?,,,058 924 1068,058 924 0070,058 924 1068,,302,P O Box 160,Memel,"2,970",Prinsloo,,,,VD Prinsloo,vdp@zippnorth.co.za,082 574 5477,Hanlie H Prinsloo,,082 574 5477,,,,,vdp@intekom.co.za,,,,,,,,,,,,,,,,RT,E,2,,x,x,x,,,,,,No ,No ,,,,,,,Members,Members,,,,,,,,,,,,,,No,,Pending Review,,,
Merino Abattoir,09/679,Northern Cape,Closed,,,?,,,053 391 3822,,053 391 3244,,1073.7,P O Box 126,Williston,"8,920",,,,,ATP Viviers,willisvleiskoop@kingsley.co.za,072 571 1200,,,,,,,,,,,,,,,,,,,,,,,,LT,E,10,,x,,,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Merweville Abattoir,07/062,Western Cape,Active,,,?,,,023 501 4033,,086 519 0144,4810149171,1150.3,P O Box 181,Merweville,"6,940",,,,,JJ Esterhuizen,douvoordagslagtery@yahoo.com,083 659 4684 / 083 661 1387,,,,,,,,,,,,,,,,,,,,,,,,LT,E,10,,,,x,x,,,,,No ,No ,,,,,,,Members,Members,Members,Members,,,,,,,,,,,,No,,Pending Review,,,
Metaalkop Abattoir,04/061,Free State,Closed,,,?,,,051 924 1670,084 581 3305,086 527 6336,,478.9,P O Box 55,Ladybrand,"9,745",,,,,MJ Stolls,malutikop@ntelecom.co.za,,,,,,,,,,,,,,,,,,,,,,,,,LT,E,5,,x,,,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Metcroc Abattoir,05/02 C,,Active,,,,,,,,,,864.1,,,,,,,,,,,,,,Marisa Pfister,admin@metcroc.co.za,071 894 5480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Mhaleni Meat Market,,Mpumalanga,Inactive,,,?,,,072 681 1735,,,,431,P O Box 1113,Thulamahashe,"1,365",,Stand no 2 Zola Trust Thulamahashe,,,Friday Mhlaleni,,072 681 1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Midas Abattoir,07/045,Western Cape,Closed,,,?,,,023 414 3381,,023 414 3381,,992.9,P O Box 212,Beaufort Wes,"6,970",,,,,CJ Coetzer,jdutoit@wsnet.co.za,,,,,,,,,,,,,,,,,,,,,,,,,LT,E,8,,,,x,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Middelfontein,04/044,Free State,Closed,,,?,,,,,,,587,P O Box 238,Koffiefontein,"9,986",,,,,GF Botha,,083 349 1359,,,,,,,,,,,,,,,,,,,,,,,,LT,E,5,,,,,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Middelveld Abattoir,04/101,Free State,Closed,,,?,,,,,,,587,P O Box 206,Koffiefontein,"9,986",,,,,P de Witt,,084 251 0159,,,,,,,,,,,,,,,,,,,,,,,,RT,E,4,,x,x,,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Middelvlei Abattoir,01/030,Gauteng,Closed,,,,,,011 412 7040,,,,89.9,P O Box 2727,Kocksvlei,"1,764",,"Farm 452 Leeuwkuil, Kocksvlei, 1764, Randfontein",,,David W Hughes,mdvabb12@gmail.com,082 345 7737,Lillie ,,,,,,,,,,Yes,,,,,,,,,,,,,LT,D,20,,,,,,,,,,No ,No ,,,,,,,Members,Members,Members,,,,,,,,,,,,,No,,Pending Review,,,
Middledrift Prison Abattoir,06/035,Eastern Cape,Active,,,?,,,040 657 3181,,040 657 3140,,998.9,Private Bag X 6,Middledrift,"5,865",,,,,Dept Correctional Services,,073 472 6911,Mr S G Tjhilekile,,073 472 6911,,,,,,,,,,,,,,,,,,,,,LT,D,20,,,,,x,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Midway Abattoir,04/067,Free State,Active,,,?,,,051 441 7540,,086 667 6692,4060153600,458,P O Box 29600,Danhof,"9,310",,Thaba Nchu Road,,,Trevor De Bruin,trevordb@intekom.co.za,082 566 5172,Goodwill Ngcangiso,,,,,,,,,,,,,,,,,,,,,,,LT,E,10,,x,,x,,,,,,No ,No ,,,,,,,Members,Members,Members ,Members ,Members,,Members,Members,,,,,,,,No,,Pending Review,,,
Mieliekloof Abattoir,02/010,Limpopo,Active,,,?,,,015 307 4681,083 263 4731,,,370.7,P O Box 950,Tzaneen,850,,Mieliekloof D19 Tzaneen 0850,,,Dewald van der Walt,mieliekloofabb@yahoo.com,083 263 4731,SJ van der Walt,vanderwaltsj1@gmail.com,083 271 1499,,,,,,,,,,,,,,,,,,,,,RT,R,2,,x,x,,x,,,,,No ,No ,,,,,,,No ,,,,,,,Members,,,,,,,,No,,Pending Review,,2025.02.18,SJ phoned office - updated information accordingly as well as physical address
Mier Abattoir,09/063,Northern Cape,Closed,,,,,,,,,,916.7,,,,,,,,Mier Bestuursraad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Mighty Meats Abattoir,05/022,KZN,Closed,,,,,,033 413 3066,,,,639.9,P O Box 172,,,,,,,Mark M Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Milfort Moloto,,Limpopo,Active,,,?,,,078 547 9395,,,,327.8,,,,,,,,,,,,,,,,,,,,mmmoloto@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Milos Abattoir,04/073,Free State,Active,,,?,,,,,086 657 5808,,138,P O Box 277,Sasolburg,"9,570",,,,,Jaco  Bester,jaco.bester1@gmail.com   ,,Grant Findley & N & J Vichos Farming,grant@pigs.co.za; njvichos@gmail.com,087 750 8009,,natalie.hughes@gmail.com,,,,,,,,,,,,,,,,,,,HT,A,130,,,,,x,,,,,No ,No ,,,,,,,Members,Members,Members ,Members ,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,2024.12.19,Johnnie van Aswegen said they don't have a physical address because the abaottoir is in the farm
Mini Butchery Abattoir/update city,05/027,KZN,Active,,,?,,,035 877 9500,,035 877 1076,,450,P O Box 1035,Vryheid,"3,100",,,,,Martin le Roux,ulundi@shelhein.co.za,083 459 3603,Etienne E le Roux,,083 459 3603,,,,,,,,,,,,,,,,,,,,,LT,R,8,,x,,x,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Mkuze,05/105G,KZN,Closed,,,?,,,035 573 9002,,,,516.6,,Mkuze,,,,,,Ezemvelo KZN Wildlife,,,,,,,,,,,,,,,,,,,,,,,,,,LT,,,,,,,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,2018.06.27,Database received from Talita
Model Slaghuis/CHECK RC Number,04/046,Free State,Active,,,?,,,,,,,603.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT,,,,x,,,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Modern Abattoir - Drakensburg Abattoir,06/109,Eastern Cape,Closed,,,?,,,039 737 3946,,086 231 1539,4900166481,761.1,,Matatiele,"4,730",Matatiele,108 High Street Ext Jagger Street Matatiele ,,,Jason van Wyk,jason@modernbutchery.co.za,083 288 9052,Yorick Booysen,yorick@modernbutchery.co.za,083 541 8588,Yorick Booysen,abattoir@modernbutchery.co.za,083 541 8588,Lucille Booysen,accounts@modernbuchery.co.za; admin@butchery.co.za,084 917 8328,trevor@modernbutchery.co.za; drakensburgabattoir@gmail.com; admin@modernbutchery.co.za; sharon@modernbutchery.co.za,,,,,,,,,,,,,,LT,D,50,,x,,x,,,,,,No ,No ,,,,,,,Members,Members,Members ,Members ,Members,Members,Members,,,,,,,,,No,,Pending Review,,2022.04.20,Shayna told me the abattoir is closed
Modjadji Abattoir,02/039,Limpopo,Active,,,?,,,071 206 4371,083 452 5414,086 516 7534,,357,P O Box 574,Modjadjiskloof,835,,Wilchorshoop Leeudraai Road,,,Willie J Swanepoel,,083 452 5414,Herman Small,vleiskombuis91@gmail.com,071 206 4371,,,,Willie J Swanepoel,,083 452 5414,,,,,,,,,,,,,,,LT,D,20,,x,,,,,,,,No ,No ,,,,,,,Members,Members,Members,Members ,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,,
Moedverloren,08/044,Mpumalanga,Inactive,,,?,,,017 687 2194,,017 687 2194,,195.2,P O Box 527,Kinross,"2,270",,,"28°94'17""E ","26°30'33""S",Mr. M Erasmus,,,,,,,,,,,,,,,,,,,,,,,,,,LT,,8,,x,,x,x,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,2018.03.15 Received from Dirk
Mogale Gate/ game world abattoir,01/003G,Gauteng,Active,,,?,,,014 576 2375,,,,86.3,,Krugersdorp,,,"Mogale's Gate on R563, Hekpoort            ",,,Mr. W Prinsloo,,,Willem prinsloo ,willem.prinsloo@standardbank.co.za,,,,,,,,,,,,,,,,,,,,,,LT,,,,,,,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,2018.07.04,Database received from Talita
Mohamed's Abattoir ,04/062,Free State,Active,,,?,,,051 943 0540,,051 943 0514,,412,P O Box 302,Clocolan,"9,735",,40 Townland Clocolan 9730,,,AMS Mohamed,rmahomed@workmail.co.za,,,,,,,,,mahomedsbutchery@gmail.com,,,,,,,,,,,,,,,,RT,E,3,,x,x,,,,,,,No ,No ,,,,,,,No ,Members,Members ,Mebers ,Members,Members,,,,,,,,,,No,,Pending Review,2025.10.27,,Saad is the one who confirmed the address
Molare Meats (Enterprise Foods),01/109,Gauteng,Active,ZA 60,4/7/2019,?,,,011 316 2290,,,4280101744,27.5,P O Box 4,Olifantsfontein,"1,665",Ekurhuleni,22 Main Road Olifantsfontein,,,Desmond,desmond@molare.co.za,,Eben van Rensburg,eben@molare.co.za,076 512 5035,Sharon Mushunje,sharon@molare.co.za,073 777 3365,Chantelle Koen,chantelle@molare.co.za,060 345 5947,antonie.roets@tigerbrands.com; cecile.holder@tigerbrands.com; liason.muneka@tigerbrands.com; johan.potgieter@tigerbrands.com; michael.smither@tigerbrands.com; leon.mbendani@tigerbrands.com,,,,,,,,,,,,,,HT,A,600,,,,,x,,,,,No ,No ,,,,,,x,Members,Members,Members,Members,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,2024.03.14,"Owner's details updated, as well as training's details updated"
Mollevel Beef Abattoir ,02/019,Limpopo,Closed,,,,,,,,,,327.8,P O Box 20,,,,,,,PJS le Roux,,083 255 0061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Monothendre (PTY) LTD t/a Top Grade Abattoir,05/004,KZN,Active,,,?,,,035 940 0279,,,4160255289,649.8,P O Box 2267,Empangeni,"3,880",Umhlathuzi,06 First Street Empangeni 3880,,,Harry Giannacopoulos,harry@gftkzn.co.za; duppie@topgradeabattoir.co.za,082 805 3379,Duppie du Preez,duppie@topgradeabattoir.co.za,082 805 3379,Cathrin Meyer,cathrin@topgradeabattoir.co.za,035 940 0279,Ilze Meyer,ilze@topgradeabattoir.co.za,082 761 0150,duppie@ahsgroup.co.za;aletta@ahsgroup.co.za,,,,,,,,,,,,,,HT,A,125,,x,,x,,,,,,No,Yes,,,,,,,No,,,,,Members,Members,Members,,Training and accountant's details updated - 2023.05.02,,,,,,No,,Pending Review,,2025.03.07,No changes has been made on the current data form
Mooirivier Abattoir,05/048,KZN,Closed,,,?,,,031 464 1218,031 464 5088,086 558 9967,,617.6,P.O. Box 3274,Durban,"4,000",,,,,Raymond Essack,mooitrade@gmail.com,072 178 6379,,,,,,,,,,,,,,,,,,,,,,,,RT,R,0,,,,,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Moorreesburg Abattoir - Wespin,07/036,Western Cape,Active,,,?,,,022 433 3017,062 151 2518,022 433 1326,4960273003,1453.7,P O Box 607,Moorreesburg,"7,310",,Swartland Street Moorreesburg 7310,,,Sandy Vorster,abattoirmrb@telkomsa.net,083 786 9178,JD Vorster,wespin65abb@gmail.com,083 786 9178,L van Wyk,,,,,,,,,,,,,,,,,,,,HT,B,67,,x,x,x,,,,,,No ,Yes,,,,,,,Members,Members,,,,,,,,,,,,,,No,,Pending Review,,,"2022/05/27, add tel nr, owner  cell nr"
Moreson Abattoir,09/017,Northern Cape,Closed,,,,,,053 631 4182,,,,778.5,P O Box 41,,,,,,,Kobus K Human,,082 927 0090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,11-Mar-26,Pending Review,,,
Morgan Beef Abattoir (Pty) Ltd,01/025,Gauteng,Active,ZA 76,5/8/2019,?,,AgriSETA,011 362 4471,017 688 9300,011 815 4819,4960185801,80.5,P O Box 808,Springs,"1,560",Ekhuruleni,2107 Javelin Rd Geduld Ext 4 Springs 1559,,,Jan Morgan,jan@morganholdings.co.za,083 676 2622 - 083 442 4293 - 076 188 2415 - 082 410 4836,Andre Niebuhr,andre@morganholdings.co.za,071 302 6703,Anita Takalana,anitah.takalana@morganbeef.co.za,011 362 4471,Jean Coetzee,jean@morganbeef.co.za; accounts@morganbeef.co.za,082 416 2105,coenraad@morganabattoir.co.za; george@morganbeef.co.za; elena@morganbeef.co.za,,,,,,,,,,,,,,HT,A,690,,x,,,,,,,,No ,Yes,,,,,,x,Members,Members,Members,Members ,Members,Members,Members,Members,,"Species and units, as well as the training manager updated",,,,,,No,,Pending Review,2024.11.25,2025.06.20,Manager's details updated
Moriwe Abattoir (PTY),01/007G,Gauteng,Closed,,,?,,,,,,,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT,,,,,,,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Mosa,03/037,North West,Closed,,,?,,,082 688 8018,,,,172.5,P O Box 15,Ledig,,Ledig,Stand no 49 Ledig,,,JJ Dlamini,,,,,,,,,,,,,,,,,,,,,,,,,,RT,R,2,,x,,,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Mosselbaai Vleishandelaars ,07/061,Western Cape,Active,ZA 96,16/11/2018,?,,,044 695 1157,044 695 2759,086 521 6516,4290149006,1259.8,Posbus 52 ,Hartenbos,"6,520",,Outeniquabosch 149 Gedeelte 14 R328 Oudtshoornpad,,,Mariana Tolman,tolman@intellect.co.za,073 217 5178,Roelof Tolman,,072 113 7537,,,,,,,,,,,,,,,,,,,,,LT,E,8,,x,x,x,x,,,,,No ,No ,,,Yes,,,,Members,Members,Members,Members,Members,,Members,Members,,,,,,,,No,,Pending Review,,,
Mosstrich Pty Ltd,07/041,Western Cape,Active,ZA 24,22/09/2018,?,,AgriSETA,044 606 4400,,044 697 7055,4150161869,1273.7,P O Box 2629,Mossel Bay,"6,500",,"12 Mkuzi Road, Mossdustria",,,Mosstrich (Pty) Ltd - Franscois de Wet,vvdwesthuizen@mosstrich.co.za,082 776 3550,Ollie Taljaard,otaljaard@mosstrich.co.za,072 697 4677,Dirk Borstlap,dborstlap@mosstrich.co.za,765927292,Johan Ludick,jludick@mosstrich.co.za,082 672 3262,,,,,,,,,,,,,,,HT,A,75,,,,,,,x,,,No ,Yes,,,Yes,,,,Members,Members,Members,Members ,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,2018.08.16,
Mpower Abattoir (Ventersdorp Abattoir),03/038,North West,Active,,,?,,,018 264 2165,,086 461 2465,4130280573,173.4,"Postnet Suite 4, Private Bag X 12055",Lichtenburg,"2,740",,"Plaas Roodepoort, Dock Straat, Ventersdorp",,,Christo Grobler,admin@mpower@gmail.com,082 721 9933,Martin Botes,martinboteshb@gmail.com,082 510 8082,Rene Pretorius,rene.I.muller@gmail.com,082 065 8200,Lilian Victor,liliannev@africomagri.com; jeanette.kleyn@truenw.co.za,060 992 7522,admin@mpowermedia.co.za,,,,,,,,,,,,,,LT,D,20,,x,,x,x,x,,,,No ,No ,,,,,,,Members,Members,Members ,Members ,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,2022.05.27,updated owner detais
Mutlam (Hamilton),09/020,Northern Cape,Closed,,,?,,,053 456 1294,,053 456 1294,,471.3,Posbus 361,Jankempdorp,"8,550",Phokwane,,,,JJ Steenkamp,steeni@lantic.net,082 948 2672,Victor Barnard,,061 791 1930,,,,,upt@hamiltonmeat.co.za,,,,,,,,,,,,,,,,LT,,,,,,,,,,,,No ,Yes,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
My Karoo,07/072 ,Western Cape,Closed,,,,,,,,,,992.9,"Posbus 1282, Beaufort-Wes 6970",,,,,,,Mnr EP Hoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
N & N Abattoir,01/005R,Gauteng,Active,,,,,,082 929 8612,082 929 8612,,,104.2,P O Box 637,Nigel,"1,490",,"Spaarwaterstreet 87 Kaydale, Jameson Park 1490",,,Neels du Plessis,,074 340 3209,Michelle Bates,chella.ste@gmail.com,079 654 9842,,,,,,,,,,,,,,,,,,,,,LT,,,,,,,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,2018.06.27,"2022/05/27, add owner & abattoir manager cell nr's"
